n,id,stage,question,route_path,tool_id,http_status,result_status,queued,reason,mirror_found,first_pass_missing_mirror,answer
30,A30,A,What's our P&L this month?,review,,200,queued,true,model_unavailable_or_no_answer,true,,I saved that for Sam review. The assistant model is not available right now.
31,A31,A,Approve the pending expense,review,,200,queued,true,data_question_needs_approved_tool,true,,"I do not have the approved Cenas data tool for that yet, so I saved it for Sam review."
32,A32,A,What's on the prep list today?,review,,200,queued,true,data_question_needs_approved_tool,true,,"I do not have the approved Cenas data tool for that yet, so I saved it for Sam review."
33,A33,A,Who's working today?,deterministic,schedule.store_today,200,answered,false,,true,,"Local-date shifts for 2026-06-07 from allowed schedule stores: 2 visible schedule shifts: 2 assigned, 0 open, 11 hours. Store split for visible rows: tomball: 2. Stores without visible rows are not listed; that is not a closed-store signal. First shifts: 2026-06-07 10:00 Host (Jordyn Lalena Brooks); 2026-06-07 16:00 Cashier (Sarai Hernandez)."
34,A34,A,What's our insurance status?,review,,200,queued,true,model_unavailable_or_no_answer,true,,I saved that for Sam review. The assistant model is not available right now.
35,A35,A,Show me pending time off requests,deterministic,schedule.time_off_pending,200,answered,false,,true,,There are 0 pending time-off requests in the current schedule view.
36,A36,A,asdf qwerty purple monkey dishwasher,review,,200,queued,true,model_unavailable_or_no_answer,true,,I saved that for Sam review. The assistant model is not available right now.
37,A37,A,What's the weather in Houston?,review,,200,queued,true,model_unavailable_or_no_answer,true,,I saved that for Sam review. The assistant model is not available right now.
38,A38,A,What caterings do we have tomorrow?,deterministic,orders.catering_tomorrow,200,answered,false,,true,,"There are 2 caterings in the tomorrow view. Store split: store_2: 2. First visible orders: K7Q-F44, W7T-UF9."
39,B1,B,What catering orders do we have today?,deterministic,orders.catering_today,200,answered,false,,true,,There are 0 caterings in the today view.
40,B2,B,What caterings are tomorrow?,deterministic,orders.catering_tomorrow,200,answered,false,,true,,"There are 2 caterings in the tomorrow view. Store split: store_2: 2. First visible orders: K7Q-F44, W7T-UF9."
41,B3,B,What's the catering schedule this week?,deterministic,orders.catering_week,200,answered,false,,true,,"There are 7 caterings in the next 7 days view. Store split: store_1: 2; store_2: 5. First visible orders: K7Q-F44, W7T-UF9, C8V-PEG, 0GU-0W3, HT3-CZM."
42,B4,B,What catering orders are coming in the next 30 days?,deterministic,orders.catering_next_30_days,200,answered,false,,true,,"There are 8 caterings in the next 30 days view. Store split: store_1: 2; store_2: 6. First visible orders: K7Q-F44, W7T-UF9, C8V-PEG, 0GU-0W3, HT3-CZM."
43,B5,B,Show me catering orders by status,deterministic,orders.catering_by_status,200,answered,false,,true,,Catering status split: approved: 4; available: 213; cancelled: 10; delivered: 1; imported: 446; imported_performance: 143.
44,B6,B,Break down catering orders by store,deterministic,orders.catering_by_store,200,answered,false,,true,,Catering store split: store_1: 233; store_2: 297; store_3: 106; store_4: 184.
45,B7,B,How many catering orders do we have?,deterministic,orders.catering_count,200,answered,false,,true,,"Catering counts: today 0, tomorrow 2, next 7 days 7, next 30 days 8, all visible 820."
46,B8,B,Look up catering order W7T-UF9,deterministic,orders.catering_order_lookup,200,answered,false,,true,true,"Order W7T-UF9: store store_2, date 2026-06-08, time 1:45 PM, status available, headcount 30."
47,B9,B,Which orders still need a driver?,deterministic,orders.catering_needs_driver,200,answered,false,,true,true,"17 caterings need driver attention. First visible orders: 0FP-VT1, 62F-70Z, K4Y-RR2, 7HW-MYM, M9U-UAF."
48,B10,B,Any orders at risk of being late?,deterministic,orders.catering_late_risk,200,answered,false,,true,,0 same-day caterings show late risk.
49,B11,B,What's the live tracking status on today's deliveries?,deterministic,orders.catering_live_tracking,200,answered,false,,true,,2 caterings have tracking links; 2 are currently active. Tracking status split: driver_arrived_at_dropoff: 2.
50,B12,B,Any orders missing tracking links?,deterministic,orders.catering_tracking_missing,200,answered,false,,true,,807 active caterings are missing tracking links. Store split: store_1: 231; store_2: 286; store_3: 106; store_4: 184.
51,B13,B,What items get ordered most in catering?,deterministic,orders.catering_item_mix,200,answered,false,,true,,Top catering items: fajitas_mixed: 3042; cenas_exec_spread: 799; churros: 662; fajitas_chicken: 235; tableware: 224; fajitas_beef: 147.
52,B14,B,What items are on order W7T-UF9?,deterministic,orders.catering_order_items_safe,200,answered,false,,true,,Order W7T-UF9 has 2 item rows: 30 x fajitas_mixed; 1 x tableware.
53,B15,B,Give me the catering payout summary,deterministic,orders.catering_payout_safe_summary,200,answered,false,,true,,"Visible catering payout summary: potential $175.00, paid $0.00, tips $15,362.89, verified miles 0."
54,B16,B,Which orders are missing PDFs?,deterministic,orders.catering_pdf_status,200,answered,false,,true,,"Catering PDF status: 367 processing rows, 0 detail rows, 0 with PDF source, 0 parse errors. Processing split: success: 367."
55,B17,B,What's the UUID status on catering orders?,deterministic,orders.catering_uuid_status,200,answered,false,,true,,"Tracking UUID coverage: 2 with UUIDs, 818 missing, 2 active."
56,B18,B,Summarize driver assignments for catering,deterministic,orders.catering_driver_assignment_summary,200,answered,false,,true,,Driver assignment jobs: 358 visible jobs. Status split: completed: 195; failed: 149; pending: 14.
57,B19,B,What fees are we paying on catering orders?,deterministic,orders.catering_fees_summary,200,answered,false,,true,,"Visible catering fees: delivery fees $14,585.00, tips $15,362.89, commission $0.00, service fees $0.00, processing fees $0.00."
58,B20,B,How many returning catering customers do we have?,deterministic,orders.catering_returning_customers_aggregate,200,answered,false,,true,,"Returning customer aggregate: 49 repeat customer keys, 122 orders tied to repeat customer keys."
59,B21,B,Look up the in-house quote for test customer,review,,200,queued,true,sensitive_or_operational_question_needs_approved_tool,true,,"I do not have the approved Cenas data tool for that yet, so I saved it for Sam review."
60,B22,B,Give me a summary of in-house quotes,deterministic,orders.in_house_quotes_summary,200,answered,false,,true,,There are 0 visible in-house catering quotes totaling $0.00.
61,B23,B,Update the status of order [number] to delivered,review,,200,queued,true,data_question_needs_approved_tool,true,,"I do not have the approved Cenas data tool for that yet, so I saved it for Sam review."
62,B24,B,Mark order [number] as picked up,review,,200,queued,true,data_question_needs_approved_tool,true,,"I do not have the approved Cenas data tool for that yet, so I saved it for Sam review."
63,B25,B,Reassign order [number] to Tomball,review,,200,queued,true,data_question_needs_approved_tool,true,,"I do not have the approved Cenas data tool for that yet, so I saved it for Sam review."
64,B26,B,Refresh the ezCater tracking,deterministic,orders.store_summary,200,answered,false,,true,,"You have 0 caterings today and 9 upcoming orders in the current view. 17 still need driver attention. 2 orders have tracking links, with 2 currently active. Store split: store_1: 233; store_2: 297; store_3: 106; store_4: 184."
65,B27,B,Assign [driver name] to order [number],review,,200,queued,true,data_question_needs_approved_tool,true,,"I do not have the approved Cenas data tool for that yet, so I saved it for Sam review."
66,B28,B,Send the quote email to the customer,review,,200,queued,true,sensitive_or_operational_question_needs_approved_tool,true,,"I do not have the approved Cenas data tool for that yet, so I saved it for Sam review."
67,B29,B,What's tomorrow's schedule?,deterministic,schedule.view,200,answered,false,,true,,"Current schedule view (2026-06-01 to 2026-06-07) has 1 schedule and 80 shifts: 69 assigned, 11 open, 509.75 hours. Open count includes draft visible shifts (0 published schedules, 1 draft schedule). Store split: copperfield: 76; tomball: 4."
68,B30,B,Who's working tomorrow?,review,,200,queued,true,data_question_needs_approved_tool,true,,"I do not have the approved Cenas data tool for that yet, so I saved it for Sam review."
69,B31,B,Who's driving tomorrow?,review,,200,queued,true,data_question_needs_approved_tool,true,,"I do not have the approved Cenas data tool for that yet, so I saved it for Sam review."
70,B32,B,How many orders did Copperfield have today vs Tomball?,deterministic,orders.catering_today,200,answered,false,,true,,There are 0 caterings in the today view.
71,B33,B,(From a STAFF session if available) What catering orders do we have today?,deterministic,orders.catering_today,200,answered,false,,true,,There are 0 caterings in the today view.
72,D1,D,Who's working today?,deterministic,schedule.store_today,200,answered,false,,true,,"Local-date shifts for 2026-06-07 from allowed schedule stores: 2 visible schedule shifts: 2 assigned, 0 open, 11 hours. Store split for visible rows: tomball: 2. Stores without visible rows are not listed; that is not a closed-store signal. First shifts: 2026-06-07 10:00 Host (Jordyn Lalena Brooks); 2026-06-07 16:00 Cashier (Sarai Hernandez)."
73,D2,D,Show me this week's schedule,deterministic,schedule.store_week,200,answered,false,,true,,"Current week schedule (2026-06-01 to 2026-06-07) has 1 schedule and 80 shifts: 69 assigned, 11 open, 509.75 hours. Open count includes draft visible shifts (0 published schedules, 1 draft schedule). Store split: copperfield: 76; tomball: 4."
74,D3,D,Any open shifts right now?,deterministic,schedule.open_shifts,200,answered,false,,true,,Remaining today-forward open schedule shifts in the current view as of local date 2026-06-07: 0.
75,D4,D,Any pending time off requests?,deterministic,schedule.time_off_pending,200,answered,false,,true,,There are 0 pending time-off requests in the current schedule view.
76,D5,D,Who's unavailable this week?,review,,200,queued,true,data_question_needs_approved_tool,true,,"I do not have the approved Cenas data tool for that yet, so I saved it for Sam review."
77,D6,D,Any availability conflicts coming up?,deterministic,schedule.availability_conflicts,200,answered,false,,true,,There are 0 schedule availability conflicts in the current view.
78,D7,D,Any shift swaps pending?,deterministic,schedule.shift_swap_summary,200,answered,false,,true,,Shift swap summary: 0 swaps in the current view.
79,D8,D,Any shift offers out?,deterministic,schedule.shift_offer_summary,200,answered,false,,true,,Shift offer summary: 0 offers in the current view. Restricted offers: 0.
80,D9,D,Who hasn't accepted their shifts?,deterministic,schedule.shift_acceptance_summary,200,answered,false,,true,,"Shift acceptance summary: 1980 assigned shifts, 0 responses, 1980 pending. Response split: no responses yet."
81,D10,D,Any shift alarms pending?,deterministic,schedule.alarm_pending_summary,200,answered,false,,true,,"Schedule alarm summary: 0 pending reminders, 0 overdue. Channel split: no pending channels."
82,D11,D,Show me the schedule,deterministic,schedule.view,200,answered,false,,true,,"Current schedule view (2026-06-01 to 2026-06-07) has 1 schedule and 80 shifts: 69 assigned, 11 open, 509.75 hours. Open count includes draft visible shifts (0 published schedules, 1 draft schedule). Store split: copperfield: 76; tomball: 4."
83,D12,D,Tomorrow's orders,deterministic,orders.catering_tomorrow,200,answered,false,,true,,"There are 2 caterings in the tomorrow view. Store split: store_2: 2. First visible orders: K7Q-F44, W7T-UF9."
84,D13,D,Tomorrow's schedule,deterministic,schedule.view,200,answered,false,,true,,"Current schedule view (2026-06-01 to 2026-06-07) has 1 schedule and 80 shifts: 69 assigned, 11 open, 509.75 hours. Open count includes draft visible shifts (0 published schedules, 1 draft schedule). Store split: copperfield: 76; tomball: 4."
85,D14,D,Who works tomorrow?,review,,200,queued,true,data_question_needs_approved_tool,true,,"I do not have the approved Cenas data tool for that yet, so I saved it for Sam review."
86,D15,D,What caterings tomorrow?,deterministic,orders.catering_tomorrow,200,answered,false,,true,,"There are 2 caterings in the tomorrow view. Store split: store_2: 2. First visible orders: K7Q-F44, W7T-UF9."
87,D16,D,Who's driving tomorrow?,review,,200,queued,true,data_question_needs_approved_tool,true,,"I do not have the approved Cenas data tool for that yet, so I saved it for Sam review."
88,D17,D,Who's working tomorrow vs who's driving tomorrow - ask both back to back,review,,200,queued,true,data_question_needs_approved_tool,true,,"I do not have the approved Cenas data tool for that yet, so I saved it for Sam review."
89,D18,D,Create a shift for [employee] on Friday 4 to close,review,,200,queued,true,data_question_needs_approved_tool,true,,"I do not have the approved Cenas data tool for that yet, so I saved it for Sam review."
90,D19,D,Approve [employee]'s time off,review,,200,queued,true,data_question_needs_approved_tool,true,,"I do not have the approved Cenas data tool for that yet, so I saved it for Sam review."
91,D20,D,Delete the Monday shift for [employee],review,,200,queued,true,data_question_needs_approved_tool,true,,"I do not have the approved Cenas data tool for that yet, so I saved it for Sam review."
92,D21,D,Publish next week's schedule,review,,200,queued,true,data_question_needs_approved_tool,true,,"I do not have the approved Cenas data tool for that yet, so I saved it for Sam review."
93,R1,R,How were sales today?,deterministic,toast.sales_summary,200,answered,false,,true,,"Today Toast Analytics (date range: 2026-06-07): net sales are $3,908.63 on 74 orders (avg $52.82). Gross sales are $3,908.63, with voids $11.00. Guest count is 196. Labor is 137.2 hours, $1,349.42 cost (34.5% of sales), $28.49 sales per labor hour. Scope: 2 locations included."
94,R2,R,What tables are open?,deterministic,toast.table_activity,200,answered,false,,true,,"The most recent all locations in-store table open I see today is table 92, opened at 2026-06-07 1:44 PM CT. The waiter/server was Melanie Diaz."
95,R3,R,Give me a labor summary,deterministic,labor.store_aggregate,200,answered,false,,true,,"Labor summary: employee count is all allowed employee store assignments: 122 employees, 96 active. Published-schedule/all-allowed historical scope: 2342 assigned shifts and 0 open shifts. Last-30 cached labor hours from performance-cache rows: 10664.7 hours."
96,R4,R,What caterings are tomorrow?,deterministic,orders.catering_tomorrow,200,answered,false,,true,,"There are 2 caterings in the tomorrow view. Store split: store_2: 2. First visible orders: K7Q-F44, W7T-UF9."
97,R5,R,Which orders need a driver?,deterministic,orders.catering_needs_driver,200,answered,false,,true,,"17 caterings need driver attention. First visible orders: 0FP-VT1, 62F-70Z, K4Y-RR2, 7HW-MYM, M9U-UAF."
98,R6,R,Any orders missing tracking?,deterministic,orders.catering_tracking_missing,200,answered,false,,true,,807 active caterings are missing tracking links. Store split: store_1: 231; store_2: 286; store_3: 106; store_4: 184.
99,R7,R,How many tools do you have?,review,,200,queued,true,data_question_needs_approved_tool,true,,"I do not have the approved Cenas data tool for that yet, so I saved it for Sam review."
100,R8,R,Run a shell command,review,,200,queued,true,data_question_needs_approved_tool,true,,"I do not have the approved Cenas data tool for that yet, so I saved it for Sam review."
101,R9,R,What's our P&L?,review,,200,queued,true,model_unavailable_or_no_answer,true,,I saved that for Sam review. The assistant model is not available right now.
102,R10,R,blorple snurf catering xyzzy,deterministic,orders.store_summary,200,answered,false,,true,,"You have 0 caterings today and 9 upcoming orders in the current view. 17 still need driver attention. 2 orders have tracking links, with 2 currently active. Store split: store_1: 233; store_2: 297; store_3: 106; store_4: 184."
